candidate,window,cost,pair,open_date,close_date,is_short,stake_amount,leverage,open_rate,close_rate,profit_abs,profit_ratio,fee_open,fee_close,funding_fees,exit_reason,trade_duration,initial_stop_loss_ratio,is_open,entry_orders
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-03-30 14:00:00+00:00,2026-03-31 01:43:00+00:00,True,2464.599,1.0,4522.2,4612.6,-52.7529262,-0.02141925689143782,0.0007,0.0007,0.0,stop_loss,703,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-03-31 02:00:00+00:00,2026-04-02 02:00:00+00:00,False,2453.1325,1.0,4602.5,4694.7,45.67381468,0.018605544288471183,0.0007,0.0007,0.0,exit_signal,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-04 02:00:00+00:00,True,2464.7175,1.0,4694.7,4652.8,18.56229375,0.007536480938493058,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-05 11:00:00+00:00,2026-04-07 11:00:00+00:00,True,2466.9729,1.0,4645.9,4644.0,-2.44415583,-0.0009914449962365982,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-07 23:00:00+00:00,2026-04-08 18:43:00+00:00,False,2467.2514,1.0,4800.1,4704.1,-52.76361116,-0.021370624196736583,0.0007,0.0007,0.0,stop_loss,1183,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-12 02:00:00+00:00,2026-04-14 02:00:00+00:00,True,2453.88,1.0,4719.0,4756.9,-23.1572276,-0.009443595047153901,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-17 13:00:00+00:00,2026-04-19 13:00:00+00:00,False,2449.317,1.0,4831.0,4795.5,-21.41494485,-0.008737115234405261,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-19 21:00:00+00:00,2026-04-20 02:00:00+00:00,True,2442.8032,1.0,4771.1,4795.7,-16.02394112,-0.006564247883748969,0.0007,0.0007,0.0,exit_signal,300,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-20 02:00:00+00:00,2026-04-21 15:00:00+00:00,False,2436.2156,1.0,4795.7,4732.9,-35.29077016,-0.014475764748107316,0.0007,0.0007,0.0,exit_signal,2220,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-21 15:00:00+00:00,2026-04-23 15:00:00+00:00,True,2427.9777,1.0,4732.9,4726.3,-0.01099872,-4.533165398161607e-06,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-26 18:00:00+00:00,2026-04-26 23:00:00+00:00,False,2430.876,1.0,4711.0,4679.8,-19.49115696,-0.008012552962024438,0.0007,0.0007,0.0,exit_signal,300,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-26 23:00:00+00:00,2026-04-27 01:00:00+00:00,True,2424.1364,1.0,4679.8,4693.2,-10.3398498,-0.0042683624423672925,0.0007,0.0007,0.0,exit_signal,120,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-27 01:00:00+00:00,2026-04-28 02:00:00+00:00,False,2421.6912,1.0,4693.2,4669.3,-15.714135,-0.00648437042676621,0.0007,0.0007,0.0,exit_signal,1500,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-04-28 02:00:00+00:00,2026-04-30 02:00:00+00:00,True,2418.6974,1.0,4669.3,4583.3,41.19300724,0.017043001139282924,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-01 14:00:00+00:00,2026-05-03 14:00:00+00:00,False,2426.4344,1.0,4630.6,4624.7,-6.48644404,-0.002671371088913958,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-03 17:00:00+00:00,2026-05-03 22:00:00+00:00,True,2428.9125,1.0,4626.5,4645.7,-13.4875335,-0.005556800167552713,0.0007,0.0007,0.0,exit_signal,300,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-03 22:00:00+00:00,2026-05-03 23:00:00+00:00,False,2425.0554,1.0,4645.7,4624.0,-14.71454838,-0.006063471952524939,0.0007,0.0007,0.0,exit_signal,60,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-03 23:00:00+00:00,2026-05-05 23:00:00+00:00,True,2418.352,1.0,4624.0,4576.0,21.73588,0.0089941852029985,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-07 07:00:00+00:00,2026-05-09 07:00:00+00:00,False,2425.6512,1.0,4737.6,4716.2,-14.34504192,-0.005909756281038936,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-10 21:00:00+00:00,2026-05-11 07:00:00+00:00,True,2423.6642,1.0,4715.3,4682.4,13.52930754,0.005586081062418836,0.0007,0.0007,0.0,exit_signal,600,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-11 07:00:00+00:00,2026-05-13 07:00:00+00:00,False,2425.4832,1.0,4682.4,4704.1,7.8370551,0.0032288712611576818,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-15 06:00:00+00:00,2026-05-17 06:00:00+00:00,True,2428.3672,1.0,4564.6,4534.8,12.46498344,0.005136667568450261,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-17 23:00:00+00:00,2026-05-18 01:00:00+00:00,False,2430.0204,1.0,4550.6,4519.0,-20.26461648,-0.008333444925474772,0.0007,0.0007,0.0,exit_signal,120,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-18 01:00:00+00:00,2026-05-20 01:00:00+00:00,True,2426.703,1.0,4519.0,4506.6,3.26607696,0.0013468334672066418,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-20 15:00:00+00:00,2026-05-22 15:00:00+00:00,False,2425.7435,1.0,4534.1,4506.1,-18.3655549,-0.0075658073511881705,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-23 21:00:00+00:00,2026-05-25 21:00:00+00:00,False,2422.491,1.0,4536.5,4576.6,18.00692322,0.007428026436823222,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-27 11:00:00+00:00,2026-05-28 13:00:00+00:00,True,2424.6624,1.0,4457.1,4439.6,6.13213664,0.002530839816091407,0.0007,0.0007,0.0,exit_signal,1560,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-28 13:00:00+00:00,2026-05-30 13:00:00+00:00,False,2428.4612,1.0,4439.6,4541.5,52.30043681,0.021521386511557414,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-05-31 06:00:00+00:00,2026-06-01 02:00:00+00:00,False,2442.0612,1.0,4547.6,4528.6,-13.61474358,-0.005571203508762092,0.0007,0.0007,0.0,exit_signal,1200,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-01 02:00:00+00:00,2026-06-03 02:00:00+00:00,True,2436.3868,1.0,4528.6,4478.4,23.6155638,0.009699652893535655,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-04 12:00:00+00:00,2026-06-05 12:52:00+00:00,False,2443.3724,1.0,4516.4,4426.1,-52.23882475,-0.02136484931719526,0.0007,0.0007,0.0,stop_loss,1492,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-05 13:00:00+00:00,2026-06-07 13:00:00+00:00,True,2430.2406,1.0,4410.6,4321.7,45.61585189,0.018783245310669085,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-08 00:00:00+00:00,2026-06-09 16:19:00+00:00,False,2439.3402,1.0,4348.2,4261.3,-52.26936449,-0.021412676070738206,0.0007,0.0007,-0.13751383652591292,stop_loss,2419,-0.02,False,1
